,time,match
474,2022/09/05,Tampa Bay Rays VS. Boston Red Sox
475,2022/09/05,St. Louis Cardinals VS. Washington Nationals
476,2022/09/05,Houston Astros VS. Texas Rangers
477,2022/09/06,Seattle Mariners VS. Chicago White Sox
478,2022/09/06,Los Angeles Dodgers VS. San Francisco Giants
479,2022/09/07,New York Yankees VS. Minnesota Twins
480,2022/09/07,Los Angeles Dodgers VS. San Francisco Giants
481,2022/09/07,Seattle Mariners VS. Chicago White Sox
482,2022/09/07,San Diego Padres VS. Arizona Diamondbacks
483,2022/09/08,St. Louis Cardinals VS. Washington Nationals
484,2022/09/08,Chicago Cubs VS. Cincinnati Reds
485,2022/09/08,Milwaukee Brewers VS. San Francisco Giants
486,2022/09/08,Milwaukee Brewers VS. San Francisco Giants
487,2022/09/08,New York Yankees VS. Minnesota Twins
488,2022/09/09,Chicago Cubs VS. San Francisco Giants
489,2022/09/09,Texas Rangers VS. Toronto Blue Jays
490,2022/09/09,Kansas City Royals VS. Detroit Tigers
491,2022/09/10,New York Yankees VS. Tampa Bay Rays
492,2022/09/10,Oakland Athletics VS. Chicago White Sox
493,2022/09/10,Minnesota Twins VS. Cleveland Guardians
494,2022/09/10,Houston Astros VS. Los Angeles Angels
495,2022/09/11,Pittsburgh Pirates VS. St. Louis Cardinals
496,2022/09/11,New York Yankees VS. Tampa Bay Rays
497,2022/09/11,Chicago Cubs VS. San Francisco Giants
498,2022/09/12,Cleveland Guardians VS. Los Angeles Angels
499,2022/09/12,Detroit Tigers VS. Houston Astros
500,2022/09/12,Arizona Diamondbacks VS. Los Angeles Dodgers
501,2022/09/12,San Francisco Giants VS. Atlanta Braves
502,2022/09/13,Cincinnati Reds VS. Pittsburgh Pirates
503,2022/09/13,Toronto Blue Jays VS. Tampa Bay Rays
504,2022/09/13,Boston Red Sox VS. New York Yankees
505,2022/09/13,Seattle Mariners VS. San Diego Padres
506,2022/09/13,San Francisco Giants VS. Atlanta Braves
507,2022/09/14,Detroit Tigers VS. Houston Astros
508,2022/09/14,Cleveland Guardians VS. Los Angeles Angels
509,2022/09/14,Seattle Mariners VS. San Diego Padres
510,2022/09/14,St. Louis Cardinals VS. Milwaukee Brewers
511,2022/09/15,Cleveland Guardians VS. Chicago White Sox
512,2022/09/15,Houston Astros VS. Oakland Athletics
513,2022/09/15,New York Mets VS. Pittsburgh Pirates
514,2022/09/16,Chicago Cubs VS. Colorado Rockies
515,2022/09/16,Milwaukee Brewers VS. New York Yankees
516,2022/09/16,Houston Astros VS. Oakland Athletics
517,2022/09/17,Cleveland Guardians VS. Minnesota Twins
518,2022/09/17,Chicago Cubs VS. Colorado Rockies
519,2022/09/17,Milwaukee Brewers VS. New York Yankees
520,2022/09/17,Atlanta Braves VS. Philadelphia Phillies
521,2022/09/18,Atlanta Braves VS. Philadelphia Phillies
522,2022/09/18,New York Mets VS. Pittsburgh Pirates
523,2022/09/18,San Francisco Giants VS. Los Angeles Dodgers
524,2022/09/19,Cleveland Guardians VS. Minnesota Twins
525,2022/09/19,Los Angeles Angels VS. Seattle Mariners
526,2022/09/19,Atlanta Braves VS. Washington Nationals
527,2022/09/19,Milwaukee Brewers VS. New York Mets
528,2022/09/20,Tampa Bay Rays VS. Houston Astros
529,2022/09/20,Chicago White Sox VS. Cleveland Guardians
530,2022/09/20,Kansas City Royals VS. Minnesota Twins
531,2022/09/20,San Diego Padres VS. St. Louis Cardinals
532,2022/09/20,Oakland Athletics VS. Seattle Mariners
533,2022/09/21,Atlanta Braves VS. Washington Nationals
534,2022/09/21,Oakland Athletics VS. Seattle Mariners
535,2022/09/21,San Diego Padres VS. St. Louis Cardinals
536,2022/09/22,Texas Rangers VS. Los Angeles Angels
537,2022/09/22,Kansas City Royals VS. Minnesota Twins
538,2022/09/22,Philadelphia Phillies VS. Atlanta Braves
539,2022/09/22,New York Yankees VS. Boston Red Sox
540,2022/09/22,Los Angeles Dodgers VS. Arizona Diamondbacks
541,2022/09/23,Baltimore Orioles VS. Houston Astros
542,2022/09/23,Tampa Bay Rays VS. Toronto Blue Jays
543,2022/09/24,New York Yankees VS. Boston Red Sox
544,2022/09/24,Texas Rangers VS. Cleveland Guardians
545,2022/09/24,Minnesota Twins VS. Los Angeles Angels
546,2022/09/25,Philadelphia Phillies VS. Atlanta Braves
547,2022/09/25,Tampa Bay Rays VS. Toronto Blue Jays
548,2022/09/25,Cincinnati Reds VS. Milwaukee Brewers
549,2022/09/25,Oakland Athletics VS. New York Mets
550,2022/09/25,New York Yankees VS. Boston Red Sox
551,2022/09/26,Washington Nationals VS. Atlanta Braves
552,2022/09/26,Toronto Blue Jays VS. New York Yankees
553,2022/09/27,Toronto Blue Jays VS. New York Yankees
554,2022/09/27,Minnesota Twins VS. Chicago White Sox
555,2022/09/27,Milwaukee Brewers VS. St. Louis Cardinals
556,2022/09/28,Pittsburgh Pirates VS. Cincinnati Reds
557,2022/09/28,Washington Nationals VS. Atlanta Braves
558,2022/09/28,Toronto Blue Jays VS. New York Yankees
559,2022/09/29,Minnesota Twins VS. Chicago White Sox
560,2022/09/29,Detroit Tigers VS. Kansas City Royals
561,2022/09/29,Chicago Cubs VS. Philadelphia Phillies
562,2022/09/29,Cleveland Guardians VS. Tampa Bay Rays
563,2022/09/29,Milwaukee Brewers VS. Miami Marlins
564,2022/09/29,San Diego Padres VS. Los Angeles Dodgers
565,2022/09/30,Chicago Cubs VS. Cincinnati Reds
566,2022/09/30,New York Yankees VS. Baltimore Orioles
567,2022/09/30,Toronto Blue Jays VS. Boston Red Sox
568,2022/09/30,Atlanta Braves VS. New York Mets
569,2022/10/01,New York Yankees VS. Baltimore Orioles
570,2022/10/01,Chicago Cubs VS. Cincinnati Reds
571,2022/10/01,Seattle Mariners VS. Oakland Athletics
572,2022/10/01,Houston Astros VS. Tampa Bay Rays
573,2022/10/01,Atlanta Braves VS. New York Mets
574,2022/10/02,New York Yankees VS. Baltimore Orioles
575,2022/10/02,Toronto Blue Jays VS. Boston Red Sox
576,2022/10/02,Atlanta Braves VS. New York Mets
577,2022/10/03,Texas Rangers VS. New York Yankees
578,2022/10/03,Boston Red Sox VS. Tampa Bay Rays
579,2022/10/03,Los Angeles Dodgers VS. Colorado Rockies
580,2022/10/04,Texas Rangers VS. New York Yankees
581,2022/10/04,Houston Astros VS. Philadelphia Phillies
582,2022/10/07,Cleveland Guardians VS. Tampa Bay Rays
583,2022/10/07,St. Louis Cardinals VS. Philadelphia Phillies
584,2022/10/07,Toronto Blue Jays VS. Seattle Mariners
585,2022/10/07,New York Mets VS. San Diego Padres
586,2022/10/08,Cleveland Guardians VS. Tampa Bay Rays
587,2022/10/08,Toronto Blue Jays VS. Seattle Mariners
588,2022/10/08,New York Mets VS. San Diego Padres
589,2022/10/08,St. Louis Cardinals VS. Philadelphia Phillies
590,2022/10/09,New York Mets VS. San Diego Padres
591,2022/10/11,Atlanta Braves VS. Philadelphia Phillies
592,2022/10/11,Houston Astros VS. Seattle Mariners
593,2022/10/11,New York Yankees VS. Cleveland Guardians
594,2022/10/11,Los Angeles Dodgers VS. San Diego Padres
595,2022/10/12,Atlanta Braves VS. Philadelphia Phillies
596,2022/10/12,Los Angeles Dodgers VS. San Diego Padres
597,2022/10/13,Houston Astros VS. Seattle Mariners
598,2022/10/14,New York Yankees VS. Cleveland Guardians
599,2022/10/14,Philadelphia Phillies VS. Atlanta Braves
600,2022/10/14,San Diego Padres VS. Los Angeles Dodgers
601,2022/10/15,Philadelphia Phillies VS. Atlanta Braves
602,2022/10/15,Seattle Mariners VS. Houston Astros
603,2022/10/15,Cleveland Guardians VS. New York Yankees
604,2022/10/15,San Diego Padres VS. Los Angeles Dodgers
605,2022/10/16,Cleveland Guardians VS. New York Yankees
606,2022/10/18,New York Yankees VS. Cleveland Guardians
607,2022/10/18,San Diego Padres VS. Philadelphia Phillies
608,2022/10/19,San Diego Padres VS. Philadelphia Phillies
609,2022/10/19,Houston Astros VS. New York Yankees
610,2022/10/20,Houston Astros VS. New York Yankees
611,2022/10/21,Philadelphia Phillies VS. San Diego Padres
612,2022/10/22,New York Yankees VS. Houston Astros
613,2022/10/22,Philadelphia Phillies VS. San Diego Padres
614,2022/10/23,Philadelphia Phillies VS. San Diego Padres
615,2022/10/23,New York Yankees VS. Houston Astros
616,2022/10/28,Houston Astros VS. Philadelphia Phillies
617,2022/10/29,Houston Astros VS. Philadelphia Phillies
618,2022/11/01,Philadelphia Phillies VS. Houston Astros
619,2022/11/02,Philadelphia Phillies VS. Houston Astros
620,2022/11/03,Philadelphia Phillies VS. Houston Astros
621,2022/11/05,Houston Astros VS. Philadelphia Phillies
